,start_station_id,start_station_latitude,start_station_longitude,start_station_name,average_daily_rides,postalCode
0,72,40.76727216,-73.99392888,W 52 St & 11 Ave,52.666666666666664,10019
1,79,40.71911552,-74.00666661,Franklin St & W Broadway,40.666666666666664,10013
2,82,40.71117416,-74.00016545,St James Pl & Pearl St,19.666666666666668,10038
3,83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,24.0,11217
4,116,40.74177603,-74.00149746,W 17 St & 8 Ave,89.66666666666667,10011
5,119,40.69608941,-73.97803415,Park Ave & St Edwards St,3.5,11205
6,120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,8.333333333333334,11238
7,127,40.73172428,-74.00674436,Barrow St & Hudson St,84.33333333333333,10014
8,128,40.72710258,-74.00297088,MacDougal St & Prince St,88.0,10014
8,128,40.72710258,-74.00297088,MacDougal St & Prince St,88.0,10012
9,137,40.761628,-73.972924,E 56 St & Madison Ave,25.333333333333332,10022
10,143,40.69239502,-73.99337909,Clinton St & Joralemon St,16.0,11201
11,144,40.69839895,-73.98068914,Nassau St & Navy St,4.333333333333333,11201
12,146,40.71625008,-74.0091059,Hudson St & Reade St,37.666666666666664,10013
13,147,40.71542197,-74.01121978,Greenwich St & Warren St,78.33333333333333,10007
14,150,40.7208736,-73.98085795,E 2 St & Avenue C,29.666666666666668,10009
15,151,40.7218158,-73.99720307,Cleveland Pl & Spring St,98.0,10012
16,152,40.71473993,-74.00910627,Warren St & Church St,43.0,10007
17,153,40.752062307,-73.9816324043,E 40 St & 5 Ave,62.0,10016
18,157,40.69089272,-73.99612349,Henry St & Atlantic Ave,22.666666666666668,11201
19,160,40.748238,-73.978311,E 37 St & Lexington Ave,39.0,10016
20,161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,66.33333333333333,10012
21,164,40.75323098,-73.97032517,E 47 St & 2 Ave,41.0,10017
22,167,40.7489006,-73.97604882,E 39 St & 3 Ave,60.0,10016
23,168,40.73971301,-73.99456405,W 18 St & 6 Ave,85.66666666666667,10011
24,173,40.76064679,-73.98442659,Broadway & W 49 St,52.333333333333336,10019
25,174,40.7381765,-73.97738662,E 25 St & 1 Ave,39.0,10016
26,195,40.70905623,-74.01043382,Liberty St & Broadway,52.666666666666664,10005
27,212,40.74334935,-74.00681753,W 16 St & The High Line,48.0,10011
28,216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,12.0,11201
29,217,40.70277159,-73.99383605,Old Fulton St,17.0,11201
30,218,40.69028437,-73.98707105,Gallatin Pl & Livingston St,8.333333333333334,11201
31,223,40.73781509,-73.99994661,W 13 St & 7 Ave,62.0,10011
32,224,40.71146364,-74.00552427,Spruce St & Nassau St,32.666666666666664,10038
33,225,40.74195138,-74.00803013,W 14 St & The High Line,29.666666666666668,10014
34,228,40.7546011026,-73.971878855,E 48 St & 3 Ave,42.0,10017
35,229,40.72743423,-73.99379025,Great Jones St,51.333333333333336,10012
36,232,40.69597683,-73.99014892,Cadman Plaza E & Tillary St,10.0,11201
37,233,40.69246277,-73.98963911,Joralemon St & Adams St,31.333333333333332,11201
38,236,40.7284186,-73.98713956,St Marks Pl & 2 Ave,57.333333333333336,10003
